"bluestock_fintech_—_nifty_100__|__balance_sheet__|__1,312_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,fiscal_year
223.0,ADANIPOWER,0.0,3857.0,14600.0,49145.0,14379.0,81981.0,53274.0,10270.0,183.0,18254.0,81981.0,0
224.0,ADANIPOWER,0.0,3857.0,26019.0,42350.0,13596.0,85821.0,51451.0,12880.0,654.0,20836.0,85821.0,0
225.0,ADANIPOWER,0.0,3857.0,39288.0,34616.0,14248.0,92009.0,63016.0,925.0,374.0,27694.0,92009.0,0
226.0,ADANIPOWER,0.0,3857.0,52097.0,37705.0,17125.0,110784.0,71147.0,9455.0,321.0,29863.0,110784.0,0
227.0,AMBUJACEM,0.0,308.0,8489.0,60.0,3487.0,12345.0,5951.0,524.0,1581.0,4289.0,12345.0,0
228.0,AMBUJACEM,0.0,309.0,9153.0,48.0,3446.0,12956.0,6147.0,698.0,1714.0,4399.0,12956.0,0
229.0,AMBUJACEM,0.0,310.0,9760.0,34.0,3774.0,13878.0,6310.0,692.0,2097.0,4780.0,13878.0,0
230.0,AMBUJACEM,0.0,310.0,9961.0,35.0,3827.0,14133.0,6170.0,416.0,2149.0,5398.0,14133.0,0
231.0,AMBUJACEM,0.0,397.0,19424.0,29.0,12974.0,32824.0,21410.0,582.0,175.0,10657.0,32824.0,0
232.0,AMBUJACEM,0.0,397.0,20275.0,24.0,14813.0,35509.0,20898.0,667.0,153.0,13791.0,35509.0,0
233.0,AMBUJACEM,0.0,397.0,21973.0,40.0,14981.0,37391.0,20636.0,1008.0,133.0,15613.0,37391.0,0
234.0,AMBUJACEM,0.0,397.0,23681.0,41.0,16059.0,40178.0,20701.0,1554.0,150.0,17773.0,40178.0,0
235.0,AMBUJACEM,0.0,397.0,22360.0,471.0,16490.0,39718.0,20486.0,2422.0,167.0,16643.0,39718.0,0
236.0,AMBUJACEM,0.0,397.0,24957.0,477.0,19374.0,45205.0,22254.0,2168.0,198.0,20585.0,45205.0,0
237.0,AMBUJACEM,0.0,397.0,31301.0,523.0,19501.0,51721.0,23551.0,2526.0,214.0,25430.0,51721.0,0
238.0,AMBUJACEM,0.0,440.0,41016.0,699.0,23107.0,65261.0,32388.0,2658.0,849.0,29365.0,65261.0,0
239.0,AMBUJACEM,0.0,493.0,49883.0,779.0,25417.0,76572.0,40857.0,6472.0,2223.0,27019.0,76572.0,0
240.0,APOLLOHOSP,0.0,70.0,2677.0,1213.0,854.0,4814.0,2341.0,403.0,527.0,1543.0,4814.0,0
241.0,APOLLOHOSP,0.0,70.0,2907.0,1344.0,1029.0,5350.0,2681.0,491.0,322.0,1855.0,5350.0,0
242.0,APOLLOHOSP,0.0,70.0,3102.0,1992.0,1296.0,6459.0,3244.0,533.0,311.0,2372.0,6459.0,0
243.0,APOLLOHOSP,0.0,70.0,3262.0,2834.0,1195.0,7360.0,3997.0,562.0,352.0,2448.0,7360.0,0
244.0,APOLLOHOSP,0.0,70.0,3244.0,3125.0,1665.0,8103.0,4591.0,347.0,406.0,2759.0,8103.0,0
245.0,APOLLOHOSP,0.0,70.0,3182.0,3427.0,1917.0,8596.0,4773.0,712.0,352.0,2759.0,8596.0,0
246.0,APOLLOHOSP,0.0,70.0,3264.0,3673.0,2159.0,9166.0,4982.0,822.0,462.0,2901.0,9166.0,0
247.0,APOLLOHOSP,0.0,70.0,3270.0,3596.0,4354.0,11289.0,7432.0,236.0,434.0,3187.0,11289.0,0
248.0,APOLLOHOSP,0.0,72.0,4531.0,4160.0,2629.0,11392.0,6778.0,234.0,1343.0,3037.0,11392.0,0
249.0,APOLLOHOSP,0.0,72.0,5551.0,4068.0,3570.0,13261.0,8296.0,46.0,816.0,4104.0,13261.0,0
250.0,APOLLOHOSP,0.0,72.0,6126.0,4332.0,3886.0,14416.0,8520.0,610.0,574.0,4712.0,14416.0,0
251.0,APOLLOHOSP,0.0,72.0,6864.0,5333.0,4474.0,16742.0,9664.0,873.0,986.0,5219.0,16742.0,0
252.0,APOLLOHOSP,0.0,72.0,7429.0,7371.0,4676.0,19548.0,10201.0,1042.0,1012.0,7293.0,19548.0,0
253.0,ASIANPAINT,0.0,96.0,3288.0,251.0,3149.0,6784.0,2441.0,59.0,296.0,3989.0,6784.0,0
254.0,ASIANPAINT,0.0,96.0,3943.0,249.0,3787.0,8075.0,2562.0,72.0,1424.0,4019.0,8075.0,0
255.0,ASIANPAINT,0.0,96.0,4646.0,418.0,3754.0,8914.0,2660.0,196.0,1588.0,4471.0,8914.0,0
256.0,ASIANPAINT,0.0,96.0,6429.0,323.0,3711.0,10559.0,3416.0,107.0,2712.0,4324.0,10559.0,0
257.0,ASIANPAINT,0.0,96.0,7508.0,560.0,4241.0,12405.0,3304.0,258.0,2652.0,6192.0,12405.0,0
258.0,ASIANPAINT,0.0,96.0,8314.0,533.0,4820.0,13763.0,3732.0,1405.0,2141.0,6485.0,13763.0,0
259.0,ASIANPAINT,0.0,96.0,9375.0,1320.0,5459.0,16249.0,6497.0,210.0,2569.0,6974.0,16249.0,0
