"bluestock_fintech_—_nifty_100__|__cash_flow__|__1,187_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,fiscal_year
207.0,AXISBANK,0.0,-5555.0,-9001.0,22341.0,7785.0,0
208.0,BAJAJ-AUTO,0.0,2218.0,-1394.0,-1445.0,-621.0,0
209.0,BAJAJ-AUTO,0.0,3502.0,-2072.0,-1496.0,-66.0,0
210.0,BAJAJ-AUTO,0.0,2114.0,-380.0,-1644.0,90.0,0
211.0,BAJAJ-AUTO,0.0,3690.0,-68.0,-3384.0,238.0,0
212.0,BAJAJ-AUTO,0.0,3267.0,-3610.0,-190.0,-532.0,0
213.0,BAJAJ-AUTO,0.0,4328.0,-1954.0,-1885.0,488.0,0
214.0,BAJAJ-AUTO,0.0,2487.0,-273.0,-2074.0,140.0,0
215.0,BAJAJ-AUTO,0.0,3850.0,1766.0,-6247.0,-630.0,0
216.0,BAJAJ-AUTO,0.0,3120.0,-2869.0,-20.0,231.0,0
217.0,BAJAJ-AUTO,0.0,4197.0,276.0,-4056.0,417.0,0
218.0,BAJAJ-AUTO,0.0,5277.0,1211.0,-7181.0,-692.0,0
219.0,BAJAJ-AUTO,0.0,6558.0,-72.0,-6167.0,319.0,0
220.0,BAJAJ-AUTO,0.0,2218.0,-1394.0,-1445.0,-621.0,0
221.0,BAJAJ-AUTO,0.0,3502.0,-2072.0,-1496.0,-66.0,0
222.0,BAJAJ-AUTO,0.0,2114.0,-380.0,-1644.0,90.0,0
223.0,BAJAJ-AUTO,0.0,3690.0,-68.0,-3384.0,238.0,0
224.0,BAJAJ-AUTO,0.0,3267.0,-3610.0,-190.0,-532.0,0
225.0,BAJAJ-AUTO,0.0,4328.0,-1954.0,-1885.0,488.0,0
226.0,BAJAJ-AUTO,0.0,2487.0,-273.0,-2074.0,140.0,0
227.0,BAJAJ-AUTO,0.0,3850.0,1766.0,-6247.0,-630.0,0
228.0,BAJAJ-AUTO,0.0,3120.0,-2869.0,-20.0,231.0,0
229.0,BAJAJ-AUTO,0.0,4197.0,276.0,-4056.0,417.0,0
230.0,BAJAJ-AUTO,0.0,5277.0,1211.0,-7181.0,-692.0,0
