"bluestock_fintech_—_nifty_100__|__profit_&_loss__|__1,276_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,fiscal_year
122.0,ADANIPORTS,0.0,6152.0,2250.0,3902.0,63.0,686.0,1175.0,912.0,2501.0,7.0,2324.0,11.0,10.0,0
123.0,ADANIPORTS,0.0,7109.0,2532.0,4577.0,64.0,730.0,1124.0,1063.0,3119.0,9.0,2856.0,14.0,8.0,0
124.0,ADANIPORTS,0.0,8439.0,3021.0,5418.0,64.0,1037.0,1116.0,1160.0,4179.0,7.0,3902.0,19.0,7.0,0
125.0,ADANIPORTS,0.0,11323.0,4166.0,7157.0,63.0,844.0,1579.0,1188.0,5234.0,30.0,3690.0,18.0,11.0,0
126.0,ADANIPORTS,0.0,10925.0,4330.0,6596.0,60.0,1289.0,1385.0,1373.0,5126.0,21.0,4045.0,19.0,1.0,0
127.0,ADANIPORTS,0.0,11873.0,5926.0,5947.0,50.0,1928.0,1951.0,1680.0,4244.0,11.0,3785.0,19.0,17.0,0
128.0,ADANIPORTS,0.0,12550.0,3862.0,8688.0,69.0,1967.0,2255.0,2107.0,6292.0,20.0,5049.0,25.0,20.0,0
129.0,ADANIPORTS,0.0,17119.0,7591.0,9528.0,56.0,1832.0,2544.0,3099.0,5717.0,13.0,4953.0,23.0,22.0,0
130.0,ADANIPORTS,0.0,20852.0,9905.0,10947.0,52.0,327.0,2363.0,3425.0,5487.0,2.0,5391.0,25.0,20.0,0
131.0,ADANIPORTS,0.0,26711.0,11121.0,15589.0,58.0,671.0,2733.0,3888.0,9639.0,16.0,8104.0,38.0,16.0,0
132.0,ADANIPORTS,0.0,28443.0,11278.0,17165.0,60.0,1039.0,2591.0,4053.0,11560.0,0.0,9743.0,45.0,0.0,0
133.0,ADANIPORTS,0.0,3577.0,1195.0,2382.0,67.0,344.0,542.0,422.0,1762.0,7.0,1639.0,8.0,12.0,0
134.0,ADANIPORTS,0.0,4830.0,1910.0,2919.0,60.0,685.0,977.0,649.0,1978.0,12.0,1741.0,8.0,12.0,0
135.0,ADANIPORTS,0.0,6152.0,2250.0,3902.0,63.0,686.0,1175.0,912.0,2501.0,7.0,2324.0,11.0,10.0,0
136.0,ADANIPORTS,0.0,7109.0,2532.0,4577.0,64.0,730.0,1124.0,1063.0,3119.0,9.0,2856.0,14.0,8.0,0
137.0,ADANIPORTS,0.0,8439.0,3021.0,5418.0,64.0,1037.0,1116.0,1160.0,4179.0,7.0,3902.0,19.0,7.0,0
138.0,ADANIPORTS,0.0,11323.0,4166.0,7157.0,63.0,844.0,1579.0,1188.0,5234.0,30.0,3690.0,18.0,11.0,0
139.0,ADANIPORTS,0.0,10925.0,4330.0,6596.0,60.0,1289.0,1385.0,1373.0,5126.0,21.0,4045.0,19.0,1.0,0
140.0,ADANIPORTS,0.0,11873.0,5926.0,5947.0,50.0,1928.0,1951.0,1680.0,4244.0,11.0,3785.0,19.0,17.0,0
141.0,ADANIPORTS,0.0,12550.0,3862.0,8688.0,69.0,1967.0,2255.0,2107.0,6292.0,20.0,5049.0,25.0,20.0,0
142.0,ADANIPORTS,0.0,17119.0,7591.0,9528.0,56.0,1832.0,2544.0,3099.0,5717.0,13.0,4953.0,23.0,22.0,0
143.0,ADANIPORTS,0.0,20852.0,9905.0,10947.0,52.0,327.0,2363.0,3425.0,5487.0,2.0,5391.0,25.0,20.0,0
144.0,ADANIPORTS,0.0,26711.0,11121.0,15589.0,58.0,671.0,2733.0,3888.0,9639.0,16.0,8104.0,38.0,16.0,0
145.0,ADANIPORTS,0.0,28443.0,11278.0,17165.0,60.0,1039.0,2591.0,4053.0,11560.0,0.0,9743.0,45.0,0.0,0
146.0,ADANIPOWER,0.0,6692.0,5732.0,960.0,14.0,215.0,1703.0,1290.0,-1818.0,26.0,-2295.0,-10.0,0.0,0
147.0,ADANIPOWER,0.0,15328.0,10735.0,4593.0,30.0,137.0,4162.0,1937.0,-1370.0,-79.0,-291.0,-1.0,0.0,0
148.0,ADANIPOWER,0.0,18683.0,14005.0,4678.0,25.0,1188.0,4864.0,1818.0,-816.0,0.0,-816.0,-3.0,0.0,0
149.0,ADANIPOWER,0.0,25377.0,16575.0,8802.0,35.0,-201.0,5560.0,2666.0,375.0,-47.0,551.0,2.0,0.0,0
150.0,ADANIPOWER,0.0,22616.0,16635.0,5980.0,26.0,-3666.0,5902.0,2672.0,-6260.0,-1.0,-6174.0,-16.0,0.0,0
151.0,ADANIPOWER,0.0,20304.0,14868.0,5436.0,27.0,754.0,5570.0,2699.0,-2079.0,0.0,-2103.0,-5.0,0.0,0
152.0,ADANIPOWER,0.0,23884.0,18901.0,4983.0,21.0,2448.0,5657.0,2751.0,-976.0,1.0,-984.0,-3.0,0.0,0
153.0,ADANIPOWER,0.0,26468.0,20734.0,5734.0,22.0,323.0,5315.0,3006.0,-2265.0,0.0,-2275.0,-6.0,0.0,0
